experiment_name,config_yaml_path,cv_best_epoch/GAME_0/Astrocyte_mean,cv_best_epoch/GAME_0/Astrocyte_std,cv_best_epoch/GAME_0/Interneuron_mean,cv_best_epoch/GAME_0/Interneuron_std,cv_best_epoch/GAME_0/Pyramidal_mean,cv_best_epoch/GAME_0/Pyramidal_std,cv_best_epoch/GAME_0/overall_mean,cv_best_epoch/GAME_0/overall_std,cv_best_epoch/GAME_1/Astrocyte_mean,cv_best_epoch/GAME_1/Astrocyte_std,cv_best_epoch/GAME_1/Interneuron_mean,cv_best_epoch/GAME_1/Interneuron_std,cv_best_epoch/GAME_1/Pyramidal_mean,cv_best_epoch/GAME_1/Pyramidal_std,cv_best_epoch/GAME_1/overall_mean,cv_best_epoch/GAME_1/overall_std,cv_best_epoch/GAME_2/Astrocyte_mean,cv_best_epoch/GAME_2/Astrocyte_std,cv_best_epoch/GAME_2/Interneuron_mean,cv_best_epoch/GAME_2/Interneuron_std,cv_best_epoch/GAME_2/Pyramidal_mean,cv_best_epoch/GAME_2/Pyramidal_std,cv_best_epoch/GAME_2/overall_mean,cv_best_epoch/GAME_2/overall_std,cv_best_epoch/GAME_3/Astrocyte_mean,cv_best_epoch/GAME_3/Astrocyte_std,cv_best_epoch/GAME_3/Interneuron_mean,cv_best_epoch/GAME_3/Interneuron_std,cv_best_epoch/GAME_3/Pyramidal_mean,cv_best_epoch/GAME_3/Pyramidal_std,cv_best_epoch/GAME_3/overall_mean,cv_best_epoch/GAME_3/overall_std,cv_best_epoch/MAE/Astrocyte_mean,cv_best_epoch/MAE/Astrocyte_std,cv_best_epoch/MAE/Interneuron_mean,cv_best_epoch/MAE/Interneuron_std,cv_best_epoch/MAE/Pyramidal_mean,cv_best_epoch/MAE/Pyramidal_std,cv_best_epoch/MAE/overall_mean,cv_best_epoch/MAE/overall_std,cv_best_epoch/NAE/Astrocyte_mean,cv_best_epoch/NAE/Astrocyte_std,cv_best_epoch/NAE/Interneuron_mean,cv_best_epoch/NAE/Interneuron_std,cv_best_epoch/NAE/Pyramidal_mean,cv_best_epoch/NAE/Pyramidal_std,cv_best_epoch/NAE/overall_mean,cv_best_epoch/NAE/overall_std,cv_best_epoch/PSNR/Astrocyte_mean,cv_best_epoch/PSNR/Astrocyte_std,cv_best_epoch/PSNR/Interneuron_mean,cv_best_epoch/PSNR/Interneuron_std,cv_best_epoch/PSNR/Pyramidal_mean,cv_best_epoch/PSNR/Pyramidal_std,cv_best_epoch/PSNR/overall_mean,cv_best_epoch/PSNR/overall_std,cv_best_epoch/RMSE/Astrocyte_mean,cv_best_epoch/RMSE/Astrocyte_std,cv_best_epoch/RMSE/Interneuron_mean,cv_best_epoch/RMSE/Interneuron_std,cv_best_epoch/RMSE/Pyramidal_mean,cv_best_epoch/RMSE/Pyramidal_std,cv_best_epoch/RMSE/overall_mean,cv_best_epoch/RMSE/overall_std,cv_best_epoch/SRE/Astrocyte_mean,cv_best_epoch/SRE/Astrocyte_std,cv_best_epoch/SRE/Interneuron_mean,cv_best_epoch/SRE/Interneuron_std,cv_best_epoch/SRE/Pyramidal_mean,cv_best_epoch/SRE/Pyramidal_std,cv_best_epoch/SRE/overall_mean,cv_best_epoch/SRE/overall_std,cv_best_epoch/SSIM/Astrocyte_mean,cv_best_epoch/SSIM/Astrocyte_std,cv_best_epoch/SSIM/Interneuron_mean,cv_best_epoch/SSIM/Interneuron_std,cv_best_epoch/SSIM/Pyramidal_mean,cv_best_epoch/SSIM/Pyramidal_std,cv_best_epoch/SSIM/overall_mean,cv_best_epoch/SSIM/overall_std,final_test/GAME_0/Astrocyte_mean,final_test/GAME_0/Astrocyte_std,final_test/GAME_0/Interneuron_mean,final_test/GAME_0/Interneuron_std,final_test/GAME_0/Pyramidal_mean,final_test/GAME_0/Pyramidal_std,final_test/GAME_0/overall_mean,final_test/GAME_0/overall_std,final_test/GAME_1/Astrocyte_mean,final_test/GAME_1/Astrocyte_std,final_test/GAME_1/Interneuron_mean,final_test/GAME_1/Interneuron_std,final_test/GAME_1/Pyramidal_mean,final_test/GAME_1/Pyramidal_std,final_test/GAME_1/overall_mean,final_test/GAME_1/overall_std,final_test/GAME_2/Astrocyte_mean,final_test/GAME_2/Astrocyte_std,final_test/GAME_2/Interneuron_mean,final_test/GAME_2/Interneuron_std,final_test/GAME_2/Pyramidal_mean,final_test/GAME_2/Pyramidal_std,final_test/GAME_2/overall_mean,final_test/GAME_2/overall_std,final_test/GAME_3/Astrocyte_mean,final_test/GAME_3/Astrocyte_std,final_test/GAME_3/Interneuron_mean,final_test/GAME_3/Interneuron_std,final_test/GAME_3/Pyramidal_mean,final_test/GAME_3/Pyramidal_std,final_test/GAME_3/overall_mean,final_test/GAME_3/overall_std,final_test/MAE/Astrocyte_mean,final_test/MAE/Astrocyte_std,final_test/MAE/Interneuron_mean,final_test/MAE/Interneuron_std,final_test/MAE/Pyramidal_mean,final_test/MAE/Pyramidal_std,final_test/MAE/overall_mean,final_test/MAE/overall_std,final_test/NAE/Astrocyte_mean,final_test/NAE/Astrocyte_std,final_test/NAE/Interneuron_mean,final_test/NAE/Interneuron_std,final_test/NAE/Pyramidal_mean,final_test/NAE/Pyramidal_std,final_test/NAE/overall_mean,final_test/NAE/overall_std,final_test/PSNR/Astrocyte_mean,final_test/PSNR/Astrocyte_std,final_test/PSNR/Interneuron_mean,final_test/PSNR/Interneuron_std,final_test/PSNR/Pyramidal_mean,final_test/PSNR/Pyramidal_std,final_test/PSNR/overall_mean,final_test/PSNR/overall_std,final_test/RMSE/Astrocyte_mean,final_test/RMSE/Astrocyte_std,final_test/RMSE/Interneuron_mean,final_test/RMSE/Interneuron_std,final_test/RMSE/Pyramidal_mean,final_test/RMSE/Pyramidal_std,final_test/RMSE/overall_mean,final_test/RMSE/overall_std,final_test/SRE/Astrocyte_mean,final_test/SRE/Astrocyte_std,final_test/SRE/Interneuron_mean,final_test/SRE/Interneuron_std,final_test/SRE/Pyramidal_mean,final_test/SRE/Pyramidal_std,final_test/SRE/overall_mean,final_test/SRE/overall_std,final_test/SSIM/Astrocyte_mean,final_test/SSIM/Astrocyte_std,final_test/SSIM/Interneuron_mean,final_test/SSIM/Interneuron_std,final_test/SSIM/Pyramidal_mean,final_test/SSIM/Pyramidal_std,final_test/SSIM/overall_mean,final_test/SSIM/overall_std
1_baseline_unet_mse_loss_20260304_145457,data/density_estimator_training/fixed_adamw_ablation_runs/1_baseline_unet_mse_loss_20260304_145457/1_baseline_unet_mse_loss.yaml,1624.7295,844.3553,228.9014,110.7800,540.6998,142.4818,798.1102,306.1175,1837.4850,743.6396,261.4987,82.0039,642.2902,150.1783,913.7580,291.3623,2003.8617,696.4602,283.9651,70.0563,739.5826,170.5202,1009.1365,291.6756,2156.9001,649.4437,305.3901,68.5490,841.9814,182.3389,1101.4238,287.4927,1164.3812,398.4783,341.3193,96.3893,550.9012,137.3777,685.5339,185.1911,0.4068,0.0996,0.6452,0.3172,0.2119,0.0454,0.4213,0.0875,20.4842,0.9755,19.8875,1.1926,22.4345,0.9948,20.9354,0.5585,1390.4049,367.9628,357.4397,103.5816,635.0131,205.2842,794.2858,193.8745,23.1799,5.7794,17.0749,3.7789,12.3328,2.8774,17.5292,2.4227,0.3333,0.0630,0.1748,0.0249,0.5038,0.0491,0.3373,0.0281,1373.2179,912.6255,163.0464,165.7744,569.0223,434.6594,701.7622,504.3531,1501.0221,845.0141,195.7856,145.8927,651.8361,380.6952,782.8813,457.2007,1744.5404,811.2089,228.1689,129.1007,743.2360,345.4781,905.3151,428.5959,1974.3407,777.2214,261.2415,123.9013,841.3470,334.0882,1025.6431,411.7370,1373.2179,,163.0464,,569.0223,,701.7622,,0.2566,,0.3027,,0.2045,,0.2546,,19.6938,,20.3098,,23.8074,,21.2703,,1646.5448,,231.9864,,714.8517,,864.4610,,22.0592,,8.8361,,12.8536,,14.5830,,0.3018,,0.2532,,0.5893,,0.3815,
2_shorter_unet_mse_loss_20260304_150729,data/density_estimator_training/fixed_adamw_ablation_runs/2_shorter_unet_mse_loss_20260304_150729/2_shorter_unet_mse_loss.yaml,1369.5697,556.6359,223.3000,205.0725,602.2573,301.5956,731.7090,243.3782,1564.8086,494.9528,244.4230,187.5932,697.2469,280.6917,835.4929,238.9038,1745.3245,440.3960,261.3986,173.0858,790.6333,275.5014,932.4520,225.0176,1899.1123,400.7838,284.8587,153.9656,879.1037,260.9001,1021.0249,212.1723,1150.5066,419.0748,253.2340,192.9414,522.1205,133.0597,641.9536,194.7952,0.3363,0.1407,0.5262,0.3797,0.2285,0.0959,0.3637,0.0972,20.5218,1.0738,19.9224,1.2250,22.4507,0.7342,20.9650,0.5180,1382.1346,464.5743,268.9394,191.9532,584.3634,149.4765,745.1458,201.0546,22.8660,7.3564,12.9596,7.8258,11.1186,2.1687,15.6481,3.2052,0.3330,0.0615,0.1818,0.0227,0.5072,0.0330,0.3407,0.0283,1455.4819,794.7449,433.8801,199.8345,733.2774,609.3843,874.2131,534.6546,1591.4768,680.8744,433.8801,199.8345,776.0081,571.5912,933.7883,484.1000,1858.0291,670.8142,433.8801,199.8345,837.0145,533.5883,1042.9745,468.0790,2069.0950,653.2244,433.8821,199.8348,919.6187,504.1341,1140.8653,452.3977,1455.4819,,433.8801,,733.2774,,874.2131,,0.2685,,1.0000,,0.2469,,0.5051,,19.4753,,19.7215,,23.7873,,20.9947,,1656.6100,,477.3112,,951.6824,,1028.5345,,21.6874,,20.8298,,16.5033,,19.6735,,0.3018,,0.1492,,0.5703,,0.3404,
5_shorter_unet_mse_normalizedl1loss_20260304_152157,data/density_estimator_training/fixed_adamw_ablation_runs/5_shorter_unet_mse_normalizedl1loss_20260304_152157/5_shorter_unet_mse_normalizedl1loss.yaml,1481.2133,833.5498,82.2621,53.0149,427.0801,80.3094,663.5185,308.4063,1656.3450,753.5302,109.5402,48.5923,492.1940,81.2009,752.6930,282.7453,1854.8463,681.8451,141.6224,51.1641,587.3500,95.8236,861.2729,265.4366,2052.5640,605.9423,186.6852,50.8404,712.3913,111.6651,983.8801,247.4290,1166.0653,526.9356,104.6770,86.8829,427.6136,137.4592,566.1187,218.7816,0.3286,0.1468,0.2095,0.0832,0.1620,0.0205,0.2334,0.0525,18.4767,0.9461,17.5961,2.6798,19.5398,1.6848,18.5375,1.0706,1365.3313,574.2925,118.2157,87.6015,511.0975,141.4030,664.8815,230.5408,21.3958,9.1005,5.8477,3.1649,9.3894,2.0237,12.2110,3.5153,0.1974,0.0272,0.1002,0.0355,0.3653,0.0497,0.2210,0.0300,1445.4004,771.1431,122.3626,142.9213,695.3138,621.2783,754.3589,511.7809,1581.8210,699.2738,147.3885,130.0778,751.4828,578.6999,826.8975,469.3505,1882.2174,616.3712,177.0936,117.5474,843.7826,526.8572,967.6979,420.2586,2200.3022,576.2332,224.4155,113.8506,955.6418,490.1935,1126.7865,393.4258,1445.4004,,122.3626,,695.3138,,754.3589,,0.2921,,0.2257,,0.2305,,0.2494,,18.5919,,16.0733,,22.3176,,18.9943,,1636.6080,,187.6568,,930.5754,,918.2801,,23.7194,,6.9663,,15.9882,,15.5580,,0.2262,,0.1147,,0.4181,,0.2530,
6_shorter_unet_normalizedl1_normalizedgameloss_20260304_153515,data/density_estimator_training/fixed_adamw_ablation_runs/6_shorter_unet_normalizedl1_normalizedgameloss_20260304_153515/6_shorter_unet_normalizedl1_normalizedgameloss.yaml,1365.2803,615.3600,88.2422,64.1823,441.2523,144.0548,631.5917,257.8097,1533.6606,571.9328,116.6892,54.7106,523.1249,125.5443,724.4916,238.3586,1721.0065,534.3980,147.5713,54.6392,616.4085,116.4304,828.3287,224.9211,1877.3250,509.4967,189.7084,53.7488,714.6124,124.8213,927.2153,221.5384,1267.7974,623.3116,95.1219,72.7134,434.2214,126.5478,599.0469,258.6298,0.3202,0.1130,0.2126,0.0979,0.1636,0.0347,0.2322,0.0512,20.2678,1.1851,19.8847,1.6285,22.5167,0.8931,20.8897,0.6132,1498.1219,644.0618,118.5989,76.1505,514.6063,130.5859,710.4424,256.6983,22.5929,7.3184,4.8727,2.5799,9.9009,2.3048,12.4555,3.2314,0.3314,0.0648,0.2156,0.0951,0.5175,0.0606,0.3548,0.0310,1879.3517,1163.7625,142.6773,118.4260,551.7440,471.7923,857.9243,584.6603,2009.5474,1004.9053,162.2158,105.5814,645.2220,418.2775,938.9951,509.5881,2124.5269,949.2363,188.3532,99.8340,749.5183,375.4496,1020.7994,474.8399,2279.5554,921.0231,235.9285,98.1882,843.3665,355.4507,1119.6168,458.2207,1879.3517,,142.6773,,551.7440,,857.9243,,0.3193,,0.3232,,0.1976,,0.2800,,19.4379,,20.4450,,23.7907,,21.2246,,2207.7373,,185.0815,,724.5718,,1039.1302,,27.5680,,7.7648,,13.0373,,16.1234,,0.2998,,0.2657,,0.5922,,0.3859,
7_shorter_unet_classnormalizedl1_normalizedgameoss_20260304_154937,data/density_estimator_training/fixed_adamw_ablation_runs/7_shorter_unet_classnormalizedl1_normalizedgameoss_20260304_154937/7_shorter_unet_classnormalizedl1_normalizedgameoss.yaml,1595.5916,694.8940,97.8462,74.3400,437.1501,122.7170,710.1959,269.8658,1753.8728,639.9872,122.5252,63.3473,518.1147,113.7643,798.1709,258.3912,1911.9988,589.0972,149.8001,61.1598,617.1177,110.7882,892.9723,243.4184,2067.2302,557.5117,187.6364,58.5937,723.1141,128.5461,992.6603,239.2779,1362.5592,519.9540,103.6956,81.6700,416.3494,92.3843,627.5347,208.8781,0.3503,0.1070,0.2253,0.0972,0.1633,0.0250,0.2463,0.0501,20.2012,1.1577,21.8993,1.0649,22.5145,0.9638,21.5383,0.6259,1642.7986,526.7585,118.8658,85.5108,518.2003,77.5276,759.9550,200.6199,25.1887,7.3364,5.5080,3.2258,9.6063,1.3461,13.4343,2.9510,0.3197,0.0662,0.3877,0.0867,0.5111,0.0460,0.4062,0.0328,1983.7665,1183.0879,130.4529,133.5200,770.2084,608.0217,961.4759,641.5432,2103.5779,1039.8944,151.2684,121.5703,819.5439,564.5900,1024.7967,575.3516,2223.9685,957.6699,173.5515,112.1845,887.9765,517.9530,1095.1655,529.2691,2367.5049,918.6019,213.6904,105.6523,959.4673,495.0231,1180.2209,506.4258,1983.7665,,130.4529,,770.2084,,961.4759,,0.3391,,0.2619,,0.2609,,0.2873,,19.3055,,21.9608,,23.6613,,21.6425,,2307.0364,,186.2389,,979.5819,,1157.6191,,28.9551,,7.2305,,17.1324,,17.7727,,0.2958,,0.4281,,0.5767,,0.4335,
8_shorter_unet_asymclassnormalizedl1_normalizedgameloss_20260304_160555,data/density_estimator_training/fixed_adamw_ablation_runs/8_shorter_unet_asymclassnormalizedl1_normalizedgameloss_20260304_160555/8_shorter_unet_asymclassnormalizedl1_normalizedgameloss.yaml,1565.8743,840.1289,70.5168,25.4798,428.3520,82.5784,688.2477,307.9727,1729.3591,729.1235,103.1648,30.7463,499.2884,74.9792,777.2708,273.5129,1902.9506,634.7969,138.1597,38.7847,593.7964,88.0881,878.3022,247.6177,2063.1138,575.9298,182.4040,43.9788,701.2637,103.4242,982.2604,235.3797,1231.6495,467.1861,85.1697,50.4222,409.2922,70.9699,575.3705,180.0134,0.3574,0.1290,0.1890,0.0565,0.1666,0.0195,0.2377,0.0403,20.1481,1.0307,21.9150,1.0501,22.6102,0.7683,21.5578,0.4152,1469.7556,467.9797,101.5924,56.9885,482.3854,59.1521,684.5778,182.1963,23.4185,7.6482,4.8723,2.0860,10.1678,0.7590,12.8195,2.7274,0.3255,0.0597,0.3835,0.0796,0.5333,0.0392,0.4141,0.0215,1735.9203,1085.4833,140.6242,155.6863,654.3098,530.0508,843.6181,590.4068,1897.0333,917.4361,160.6514,143.9244,729.1340,476.1174,928.9396,512.4926,2037.1749,854.7166,182.1809,133.5620,807.3649,445.9821,1008.9069,478.0869,2224.7622,827.7399,219.0698,127.5838,892.0613,429.2423,1111.9645,461.5220,1735.9203,,140.6242,,654.3098,,843.6181,,0.2970,,0.2573,,0.2266,,0.2603,,19.3238,,21.9001,,23.5488,,21.5909,,2044.7684,,209.2727,,840.5618,,1031.5343,,25.5356,,7.8191,,14.8978,,16.0842,,0.2904,,0.4133,,0.5896,,0.4311,
