experiment_name,config_yaml_path,cv_best_epoch/GAME_0/Astrocyte_mean,cv_best_epoch/GAME_0/Astrocyte_std,cv_best_epoch/GAME_0/Interneuron_mean,cv_best_epoch/GAME_0/Interneuron_std,cv_best_epoch/GAME_0/Pyramidal_mean,cv_best_epoch/GAME_0/Pyramidal_std,cv_best_epoch/GAME_0/overall_mean,cv_best_epoch/GAME_0/overall_std,cv_best_epoch/GAME_1/Astrocyte_mean,cv_best_epoch/GAME_1/Astrocyte_std,cv_best_epoch/GAME_1/Interneuron_mean,cv_best_epoch/GAME_1/Interneuron_std,cv_best_epoch/GAME_1/Pyramidal_mean,cv_best_epoch/GAME_1/Pyramidal_std,cv_best_epoch/GAME_1/overall_mean,cv_best_epoch/GAME_1/overall_std,cv_best_epoch/GAME_2/Astrocyte_mean,cv_best_epoch/GAME_2/Astrocyte_std,cv_best_epoch/GAME_2/Interneuron_mean,cv_best_epoch/GAME_2/Interneuron_std,cv_best_epoch/GAME_2/Pyramidal_mean,cv_best_epoch/GAME_2/Pyramidal_std,cv_best_epoch/GAME_2/overall_mean,cv_best_epoch/GAME_2/overall_std,cv_best_epoch/GAME_3/Astrocyte_mean,cv_best_epoch/GAME_3/Astrocyte_std,cv_best_epoch/GAME_3/Interneuron_mean,cv_best_epoch/GAME_3/Interneuron_std,cv_best_epoch/GAME_3/Pyramidal_mean,cv_best_epoch/GAME_3/Pyramidal_std,cv_best_epoch/GAME_3/overall_mean,cv_best_epoch/GAME_3/overall_std,cv_best_epoch/MAE/Astrocyte_mean,cv_best_epoch/MAE/Astrocyte_std,cv_best_epoch/MAE/Interneuron_mean,cv_best_epoch/MAE/Interneuron_std,cv_best_epoch/MAE/Pyramidal_mean,cv_best_epoch/MAE/Pyramidal_std,cv_best_epoch/MAE/overall_mean,cv_best_epoch/MAE/overall_std,cv_best_epoch/NAE/Astrocyte_mean,cv_best_epoch/NAE/Astrocyte_std,cv_best_epoch/NAE/Interneuron_mean,cv_best_epoch/NAE/Interneuron_std,cv_best_epoch/NAE/Pyramidal_mean,cv_best_epoch/NAE/Pyramidal_std,cv_best_epoch/NAE/overall_mean,cv_best_epoch/NAE/overall_std,cv_best_epoch/PSNR/Astrocyte_mean,cv_best_epoch/PSNR/Astrocyte_std,cv_best_epoch/PSNR/Interneuron_mean,cv_best_epoch/PSNR/Interneuron_std,cv_best_epoch/PSNR/Pyramidal_mean,cv_best_epoch/PSNR/Pyramidal_std,cv_best_epoch/PSNR/overall_mean,cv_best_epoch/PSNR/overall_std,cv_best_epoch/RMSE/Astrocyte_mean,cv_best_epoch/RMSE/Astrocyte_std,cv_best_epoch/RMSE/Interneuron_mean,cv_best_epoch/RMSE/Interneuron_std,cv_best_epoch/RMSE/Pyramidal_mean,cv_best_epoch/RMSE/Pyramidal_std,cv_best_epoch/RMSE/overall_mean,cv_best_epoch/RMSE/overall_std,cv_best_epoch/SRE/Astrocyte_mean,cv_best_epoch/SRE/Astrocyte_std,cv_best_epoch/SRE/Interneuron_mean,cv_best_epoch/SRE/Interneuron_std,cv_best_epoch/SRE/Pyramidal_mean,cv_best_epoch/SRE/Pyramidal_std,cv_best_epoch/SRE/overall_mean,cv_best_epoch/SRE/overall_std,cv_best_epoch/SSIM/Astrocyte_mean,cv_best_epoch/SSIM/Astrocyte_std,cv_best_epoch/SSIM/Interneuron_mean,cv_best_epoch/SSIM/Interneuron_std,cv_best_epoch/SSIM/Pyramidal_mean,cv_best_epoch/SSIM/Pyramidal_std,cv_best_epoch/SSIM/overall_mean,cv_best_epoch/SSIM/overall_std,final_test/GAME_0/Astrocyte_mean,final_test/GAME_0/Astrocyte_std,final_test/GAME_0/Interneuron_mean,final_test/GAME_0/Interneuron_std,final_test/GAME_0/Pyramidal_mean,final_test/GAME_0/Pyramidal_std,final_test/GAME_0/overall_mean,final_test/GAME_0/overall_std,final_test/GAME_1/Astrocyte_mean,final_test/GAME_1/Astrocyte_std,final_test/GAME_1/Interneuron_mean,final_test/GAME_1/Interneuron_std,final_test/GAME_1/Pyramidal_mean,final_test/GAME_1/Pyramidal_std,final_test/GAME_1/overall_mean,final_test/GAME_1/overall_std,final_test/GAME_2/Astrocyte_mean,final_test/GAME_2/Astrocyte_std,final_test/GAME_2/Interneuron_mean,final_test/GAME_2/Interneuron_std,final_test/GAME_2/Pyramidal_mean,final_test/GAME_2/Pyramidal_std,final_test/GAME_2/overall_mean,final_test/GAME_2/overall_std,final_test/GAME_3/Astrocyte_mean,final_test/GAME_3/Astrocyte_std,final_test/GAME_3/Interneuron_mean,final_test/GAME_3/Interneuron_std,final_test/GAME_3/Pyramidal_mean,final_test/GAME_3/Pyramidal_std,final_test/GAME_3/overall_mean,final_test/GAME_3/overall_std,final_test/MAE/Astrocyte_mean,final_test/MAE/Astrocyte_std,final_test/MAE/Interneuron_mean,final_test/MAE/Interneuron_std,final_test/MAE/Pyramidal_mean,final_test/MAE/Pyramidal_std,final_test/MAE/overall_mean,final_test/MAE/overall_std,final_test/NAE/Astrocyte_mean,final_test/NAE/Astrocyte_std,final_test/NAE/Interneuron_mean,final_test/NAE/Interneuron_std,final_test/NAE/Pyramidal_mean,final_test/NAE/Pyramidal_std,final_test/NAE/overall_mean,final_test/NAE/overall_std,final_test/PSNR/Astrocyte_mean,final_test/PSNR/Astrocyte_std,final_test/PSNR/Interneuron_mean,final_test/PSNR/Interneuron_std,final_test/PSNR/Pyramidal_mean,final_test/PSNR/Pyramidal_std,final_test/PSNR/overall_mean,final_test/PSNR/overall_std,final_test/RMSE/Astrocyte_mean,final_test/RMSE/Astrocyte_std,final_test/RMSE/Interneuron_mean,final_test/RMSE/Interneuron_std,final_test/RMSE/Pyramidal_mean,final_test/RMSE/Pyramidal_std,final_test/RMSE/overall_mean,final_test/RMSE/overall_std,final_test/SRE/Astrocyte_mean,final_test/SRE/Astrocyte_std,final_test/SRE/Interneuron_mean,final_test/SRE/Interneuron_std,final_test/SRE/Pyramidal_mean,final_test/SRE/Pyramidal_std,final_test/SRE/overall_mean,final_test/SRE/overall_std,final_test/SSIM/Astrocyte_mean,final_test/SSIM/Astrocyte_std,final_test/SSIM/Interneuron_mean,final_test/SSIM/Interneuron_std,final_test/SSIM/Pyramidal_mean,final_test/SSIM/Pyramidal_std,final_test/SSIM/overall_mean,final_test/SSIM/overall_std
1_baseline_unet_mse_loss_adam_20260225_115148,data/density_estimator_training/ablation_runs/1_baseline_unet_mse_loss_adam_20260225_115148/1_baseline_unet_mse_loss_adam.yaml,1298.3383,402.8996,272.6701,149.6904,541.2306,105.3285,704.0797,183.1958,1609.5870,322.1133,281.4097,137.6138,642.2457,77.3767,844.4141,163.3358,1818.1465,304.8979,291.3945,125.9138,736.2825,61.6876,948.6078,156.0713,1985.6797,301.3124,303.5877,113.1907,831.0312,71.5674,1040.0995,157.3812,1134.5416,398.0309,310.6429,128.7084,508.0390,117.4663,651.0746,187.7452,0.3528,0.0907,0.7085,0.3416,0.2249,0.0623,0.4288,0.1115,20.4289,0.9219,19.9890,1.1018,22.5087,0.8363,20.9756,0.4945,1345.1321,432.3865,342.5902,102.3182,570.8588,123.4190,752.8604,190.9569,22.1921,6.3453,15.9898,4.8117,11.8211,1.9763,16.6676,3.1454,0.3289,0.0564,0.1824,0.0323,0.5165,0.0399,0.3426,0.0296,1505.7422,916.2529,177.6323,167.0839,812.1291,670.6341,831.8345,584.6570,1625.9460,821.1815,214.2043,143.4588,864.3820,622.9699,901.5108,529.2034,1804.7296,796.5162,246.5648,125.6860,934.0126,575.4399,995.1023,499.2140,2019.4866,768.9609,282.4041,121.1725,1018.9510,543.1312,1106.9472,477.7549,1505.7422,,177.6323,,812.1291,,831.8345,,0.2694,,0.3360,,0.2741,,0.2932,,19.5409,,20.4878,,23.5722,,21.2003,,1760.4590,,243.3490,,1051.3097,,1018.3726,,22.4533,,9.4502,,18.3300,,16.7445,,0.2970,,0.2858,,0.5237,,0.3688,
2_shorter_unet_mse_loss_adam_20260225_120450,data/density_estimator_training/ablation_runs/2_shorter_unet_mse_loss_adam_20260225_120450/2_shorter_unet_mse_loss_adam.yaml,1748.1318,823.3983,134.9533,92.7247,807.0373,604.8604,896.7074,458.6734,1907.4258,779.7436,164.5898,85.3114,897.3654,562.5241,989.7936,446.9205,2083.3103,734.2533,195.3266,78.3597,992.7440,514.9310,1090.4603,421.8556,2237.1184,691.3740,232.7530,74.8218,1070.6094,478.2910,1180.1602,401.7665,1127.6663,318.5337,231.7713,201.1630,515.4587,276.2951,624.9655,196.3499,0.3612,0.1262,0.3634,0.2738,0.2800,0.1523,0.3348,0.0937,20.3824,0.9816,19.8475,1.2281,22.3949,0.9741,20.8749,0.5360,1365.7351,318.4854,256.1598,192.7991,593.3793,269.8187,738.4247,180.7884,22.2394,6.6714,12.2418,7.9672,11.2700,4.3798,15.2504,3.3573,0.3336,0.0587,0.1756,0.0220,0.4928,0.0424,0.3340,0.0231,1396.4401,713.2796,322.7149,197.6817,604.6713,492.9189,774.6088,467.9601,1537.2836,610.7614,324.4169,196.4674,652.6656,462.4840,838.1220,423.2376,1800.9841,610.0578,329.6675,193.3964,744.9025,423.7355,958.5180,409.0632,2016.5924,615.6439,341.6116,187.5956,851.7523,412.2071,1069.9854,405.1488,1396.4401,,322.7149,,604.6713,,774.6088,,0.2615,,0.7075,,0.2050,,0.3913,,19.5772,,20.2322,,23.9229,,21.2441,,1566.5979,,377.9827,,778.7217,,907.7674,,20.9478,,15.7676,,13.5352,,16.7502,,0.3010,,0.2076,,0.5667,,0.3584,
3_shorter_unet_naecount_mse_loss_adam_20260225_121637,data/density_estimator_training/ablation_runs/3_shorter_unet_naecount_mse_loss_adam_20260225_121637/3_shorter_unet_naecount_mse_loss_adam.yaml,1258.7223,426.7465,85.1645,42.1343,405.0794,76.4576,582.9888,145.4366,1608.3793,370.2536,134.7238,33.4122,563.4779,73.7391,768.8604,133.6883,2028.8707,263.3277,191.4606,26.8168,751.9282,123.2637,990.7531,115.6753,2382.9500,176.7271,249.5681,28.9166,938.1935,170.8244,1190.2373,116.5496,1147.1899,383.1017,93.0489,33.6229,415.4270,48.2336,551.8886,142.2726,0.3141,0.1023,0.2287,0.0742,0.1609,0.0340,0.2346,0.0267,18.2831,0.4929,18.0976,2.0284,19.0901,1.3460,18.4902,0.4924,1415.4041,452.0995,114.6701,34.0764,493.7090,88.8795,674.5944,162.2030,21.9784,5.5757,5.4790,1.6597,9.4517,1.9039,12.3031,1.7640,0.1995,0.0541,0.1264,0.0359,0.3441,0.0646,0.2233,0.0190,1723.2151,866.2343,115.4600,146.9086,671.1725,630.6717,836.6159,547.9382,2005.6935,635.2861,158.8808,128.3708,767.3657,567.9995,977.3133,443.8855,2406.5818,585.9133,202.7394,117.2582,890.3986,511.0103,1166.5733,404.7273,2685.0576,543.6094,261.4704,114.1283,1040.0969,460.3645,1328.8750,372.7007,1723.2151,,115.4600,,671.1725,,836.6159,,0.3208,,0.2156,,0.2254,,0.2539,,18.2254,,15.4018,,22.4404,,18.6892,,1926.9335,,186.3295,,919.0409,,1010.7680,,25.7831,,6.8916,,15.9584,,16.2110,,0.1960,,0.1139,,0.4463,,0.2521,
4_shorter_unet_naecount_l1loss_adam_20260225_123056,data/density_estimator_training/ablation_runs/4_shorter_unet_naecount_l1loss_adam_20260225_123056/4_shorter_unet_naecount_l1loss_adam.yaml,1526.4357,794.8818,75.1265,32.3011,494.0895,277.8904,698.5506,351.1805,1821.4395,717.5817,120.8928,28.9793,611.2808,259.7901,851.2044,322.7932,2166.1946,638.7589,178.9626,44.1936,782.4265,259.8246,1042.5278,297.1339,2457.4536,598.4911,227.9078,48.6912,952.2824,267.8860,1212.5480,285.5287,1437.5945,776.0557,114.9988,102.6389,502.1925,222.5313,684.9286,346.4055,0.3830,0.1508,0.1996,0.0762,0.1836,0.0728,0.2554,0.0500,18.5701,0.7768,17.5333,2.2550,19.7106,0.4715,18.6047,0.6817,1708.0524,837.6596,132.9550,101.9569,601.2391,262.6065,814.0822,375.9468,27.0951,10.5992,4.7429,1.7042,11.1692,4.8069,14.3358,4.4164,0.2018,0.0326,0.1199,0.0489,0.3732,0.0475,0.2316,0.0153,1476.6614,735.9807,127.4612,159.1301,581.0938,543.2046,728.4054,479.4385,1835.1360,481.1557,173.6111,139.6049,703.9944,470.9954,904.2472,363.9187,2198.7114,467.4554,228.8425,123.6050,862.8052,410.2329,1096.7864,333.7645,2461.3655,496.5927,291.8245,117.0648,1000.5445,366.7319,1251.2448,326.7965,1476.6614,,127.4612,,581.0938,,728.4054,,0.2815,,0.2330,,0.1949,,0.2365,,18.6859,,15.3705,,22.3218,,18.7928,,1648.4286,,203.3239,,793.7777,,881.8434,,22.2134,,7.5559,,13.7718,,14.5137,,0.2339,,0.1272,,0.4507,,0.2706,
5_shorter_unet_naecount_normalizedl1loss_adam_20260225_124428,data/density_estimator_training/ablation_runs/5_shorter_unet_naecount_normalizedl1loss_adam_20260225_124428/5_shorter_unet_naecount_normalizedl1loss_adam.yaml,1422.9163,755.6490,91.3467,52.1565,406.7066,94.4838,640.3231,283.1449,1611.7175,690.5389,127.5806,37.6987,496.5326,85.9570,745.2769,261.6308,1816.6211,654.1941,167.1320,37.7554,612.8859,117.0197,865.5463,262.0175,1993.2578,615.4593,210.5998,41.2836,726.4478,138.0405,976.7684,259.7212,1276.5969,701.4078,97.1824,50.3494,395.2431,70.4566,589.6742,251.2099,0.3423,0.1465,0.2129,0.0568,0.1584,0.0219,0.2378,0.0563,20.1627,1.4253,19.1948,1.7294,22.5189,0.9678,20.6255,0.7562,1559.1177,741.2932,112.4331,53.3904,472.4904,94.5388,714.6804,274.5363,23.4303,9.2949,5.4038,2.0340,9.2963,1.2403,12.7101,3.5362,0.3262,0.0702,0.1966,0.0605,0.5117,0.0646,0.3448,0.0351,1912.8103,981.2773,113.4840,128.2644,683.1926,630.4653,903.1623,580.0023,2144.8230,707.1033,150.6997,111.7098,736.7650,592.8060,1010.7625,470.5397,2275.7830,653.0007,186.8340,99.8230,827.9760,540.5491,1096.8643,431.1242,2412.9524,630.3432,231.4604,96.5725,913.3760,506.7823,1185.9296,411.2326,1912.8103,,113.4840,,683.1926,,903.1623,,0.3452,,0.2134,,0.2280,,0.2622,,19.0619,,19.9869,,23.7484,,20.9324,,2147.8066,,170.8279,,927.7164,,1082.1170,,27.9391,,6.4216,,15.9484,,16.7697,,0.2905,,0.2835,,0.5719,,0.3820,
6_shorter_unet_normalizedgame_normalizedl1loss_adam_20260225_130007,data/density_estimator_training/ablation_runs/6_shorter_unet_normalizedgame_normalizedl1loss_adam_20260225_130007/6_shorter_unet_normalizedgame_normalizedl1loss_adam.yaml,1382.7703,667.7586,73.8305,27.3976,394.0912,73.1991,616.8973,247.4900,1577.3135,585.7102,103.3653,27.7003,470.0223,81.8927,716.9005,228.4769,1762.4453,554.4355,137.0020,36.8345,580.6774,117.6142,826.7082,232.5273,1937.5293,535.0074,181.0930,44.4342,690.0287,156.2798,936.2170,241.8571,1290.7952,670.5775,81.4210,28.9680,383.8598,87.7227,585.3586,252.5180,0.3238,0.1311,0.1895,0.0443,0.1544,0.0338,0.2226,0.0451,20.2685,1.1029,19.9765,1.8469,22.6107,0.8657,20.9519,0.6273,1502.5656,676.0035,110.1193,62.4028,488.7783,117.0417,700.4877,267.3990,22.0740,8.0269,5.1841,2.1046,9.0692,1.3624,12.1091,3.1977,0.3290,0.0632,0.2189,0.0897,0.5247,0.0468,0.3575,0.0313,1567.8010,1055.9944,138.9172,147.3559,722.7751,591.3579,809.8311,598.2361,1744.8856,906.1672,160.4678,134.5474,808.4947,536.1827,904.6160,525.6324,1934.5153,852.4282,184.6579,123.5908,906.0730,485.0347,1008.4154,487.0179,2125.9580,823.5769,228.3571,122.6269,997.3152,451.9364,1117.2101,466.0468,1567.8010,,138.9172,,722.7751,,809.8311,,0.2683,,0.2642,,0.2494,,0.2606,,19.5085,,20.9070,,23.4744,,21.2966,,1887.6117,,202.0300,,932.1789,,1007.2735,,23.4221,,7.6611,,16.3557,,15.8130,,0.2985,,0.2941,,0.5516,,0.3814,
7_shorter_unet_normalizedgame_classnormalizedl1loss_adam_20260225_131511,data/density_estimator_training/ablation_runs/7_shorter_unet_normalizedgame_classnormalizedl1loss_adam_20260225_131511/7_shorter_unet_normalizedgame_classnormalizedl1loss_adam.yaml,1772.9440,1097.1150,89.9214,64.5689,541.2520,318.3970,801.3724,477.7388,1910.1218,1000.9401,115.7941,56.6466,611.7025,296.1573,879.2062,437.9209,2062.5110,907.2978,146.5470,54.6998,699.0305,269.9705,969.3628,400.1181,2198.8918,857.6287,185.2274,56.5692,785.4447,250.1666,1056.5212,379.8566,1564.8660,845.8971,114.7984,107.5994,531.8403,319.9440,737.1683,406.5117,0.3631,0.1429,0.2175,0.0923,0.1929,0.0722,0.2578,0.0829,20.0067,1.4146,21.8811,0.9671,22.5114,1.0060,21.4664,0.7030,1853.9375,883.2433,129.7783,110.8499,638.2717,321.8009,873.9958,415.0294,27.2665,11.3623,5.3773,3.1898,10.7919,3.4088,14.4786,5.4647,0.3176,0.0779,0.3813,0.0672,0.5127,0.0540,0.4038,0.0398,1675.7413,819.3595,141.6848,177.1515,770.2370,656.1605,862.5544,550.8905,1861.8523,676.5938,168.7780,162.7914,868.1425,577.2720,966.2576,472.2191,2059.2014,608.6791,193.3012,150.0710,953.1108,535.3782,1068.5378,431.3761,2307.9321,616.6721,229.1057,139.6132,1039.6162,511.5553,1192.2180,422.6135,1675.7413,,141.6848,,770.2370,,862.5544,,0.3104,,0.2461,,0.2618,,0.2728,,18.8498,,21.4557,,23.4123,,21.2393,,1863.7089,,226.2178,,1009.9172,,1033.2813,,24.5109,,8.2929,,17.5926,,16.7988,,0.2675,,0.3812,,0.5627,,0.4038,
8_shorter_unet_normalizedgame_asymclassnormalizedl1loss_adam_20260225_133028,data/density_estimator_training/ablation_runs/8_shorter_unet_normalizedgame_asymclassnormalizedl1loss_adam_20260225_133028/8_shorter_unet_normalizedgame_asymclassnormalizedl1loss_adam.yaml,1455.7860,684.0503,77.7150,36.5891,373.7831,60.8787,635.7614,227.3801,1661.5676,569.3849,105.6936,35.9281,467.2390,30.0079,744.8334,199.5429,1839.7786,493.6237,139.3855,43.5324,574.8275,51.9670,851.3304,179.1512,2010.8262,453.4228,181.2336,47.4345,685.9169,76.4145,959.3256,176.3221,1170.4838,417.2398,103.5982,78.0698,381.8853,70.4998,551.9891,172.0965,0.3232,0.1298,0.2085,0.0525,0.1483,0.0246,0.2267,0.0304,20.0041,0.9805,21.8476,1.1538,22.5379,0.7724,21.4632,0.4979,1405.0149,505.4207,99.2442,40.0523,456.0576,58.2933,653.4389,181.6140,22.5030,7.3686,4.7266,1.3598,9.1855,0.5191,12.1384,2.3902,0.3180,0.0595,0.3808,0.0898,0.5096,0.0526,0.4028,0.0344,1125.5038,769.3846,129.3743,133.9165,584.0958,452.1575,612.9913,451.8195,1401.7434,645.3459,153.2066,122.3041,665.6992,397.3419,740.2164,388.3306,1801.0243,588.3734,182.8721,112.7900,759.9272,362.2151,914.6079,354.4595,2141.7568,592.5621,228.6561,107.0341,870.6129,351.1296,1080.3419,350.2419,1125.5038,,129.3743,,584.0958,,612.9913,,0.2383,,0.2683,,0.2075,,0.2380,,19.2173,,21.6015,,23.7341,,21.5176,,1361.3884,,185.7681,,737.4093,,761.5219,,20.5345,,7.2284,,13.2830,,13.6820,,0.2756,,0.4126,,0.5954,,0.4278,
9_shorter_unet_normalizedgame_asymclassnormalizedl1loss_adamw_20260225_134652,data/density_estimator_training/ablation_runs/9_shorter_unet_normalizedgame_asymclassnormalizedl1loss_adamw_20260225_134652/9_shorter_unet_normalizedgame_asymclassnormalizedl1loss_adamw.yaml,1426.9944,678.0352,92.6045,57.9674,421.4803,64.4990,647.0264,241.5935,1575.9883,617.1796,117.1679,50.6401,504.1796,66.3002,732.4452,233.2197,1743.4408,571.2313,145.3899,50.5078,604.2140,79.5491,831.0148,223.6477,1906.3508,526.6950,184.1774,50.4287,701.8468,98.8381,930.7917,216.1950,1232.5243,506.5034,86.5785,27.3779,427.4827,45.2357,582.1952,178.3234,0.3265,0.1381,0.2039,0.0477,0.1608,0.0387,0.2304,0.0419,20.3008,1.0034,21.8607,1.1803,22.6637,0.7125,21.6084,0.4219,1426.9713,498.5179,115.8487,60.5366,521.0506,76.2364,687.9569,189.9200,23.1252,8.2080,4.6420,0.9155,9.3961,1.3398,12.3878,2.3860,0.3296,0.0613,0.3853,0.0890,0.5311,0.0354,0.4153,0.0207,1716.5645,1150.9423,143.8605,102.7728,593.2511,562.1097,817.8920,605.2749,1819.8585,1066.8210,163.8356,86.9534,652.1358,520.2074,878.6100,557.9939,1992.6057,1009.0209,194.4968,77.4798,744.2177,477.8763,977.1067,521.4590,2173.9241,964.0037,236.9938,80.0393,843.1270,460.0307,1084.6816,501.3579,1716.5645,,143.8605,,593.2511,,817.8920,,0.2882,,0.3635,,0.1989,,0.2835,,19.5147,,21.3093,,23.9672,,21.5971,,2063.8140,,176.5303,,815.5167,,1018.6203,,25.3839,,8.2138,,14.0715,,15.8897,,0.2989,,0.4043,,0.5875,,0.4303,
